binding_name,repository_relative_path,sha256,bytes
execution_pcl_backend,src/phase_a_harness/pcl_backend.py,25e45b31bc90c93bc578104c994992c3f913437b12bf46389a8380d1d06b9e31,12911
execution_phase_a_harness_package_init,src/phase_a_harness/__init__.py,2bbd236bb1222cc6813aa68463d4d864fb6e9414e4fc5a7676113f9884d7195a,81
execution_result_validator,experiments/mid360_formal_batch1/zero_perturbation_r1_trial_assets.py,f1cf3401b0f5ec0c662881c5b9938e412bd679abdaf83b103c20a17f8e979363,47031
execution_rotation_metrics,src/phase_a_harness/rotation_metrics.py,0ed2f040d275f013e26cfc3d9be0610511be436ba512333fed610daa663ffb8a,5249
execution_runner,experiments/mid360_formal_batch1/zero_perturbation_v1_1_r1_runner.py,52933d7a6892af5ce049400e752bb8eca9a4f64ca34d69a7c17e3dce1781a99b,58578
execution_runner_cli,tools/mid360_formal_batch1/run_zero_perturbation_v1_1_r1.py,f62050f58868d01b5047e51755c30e915c8bfef88c3e2c179dadebe5d4b8fb74,2674
execution_types,src/phase_a_harness/types.py,f74527d30e10da4d729de33ae072cc31af65519fe1d9162ea522568fbae20cc2,5140
final_dataset_independent_verification,results/mid360_formal_batch1/final_dataset_v1/independent_verification.json,892937d3354b8e7648e9d20f1c39af269d1bbb47200b6a774be3611148fcd7af,2249
final_dataset_pointer,results/mid360_formal_batch1/CURRENT_FINAL_DATASET.json,aaa5ae45da89e5eb7c17c2fb54dc8798e564240e17b20e4ce8d0fc581da6a330,814
final_dataset_prelock_reauthentication,results/mid360_formal_batch1/zero_perturbation_v1_1_lock/final_dataset_prelock_reauthentication.json,32a7afcf7f237317888b47de09064f03fe0417a9996fd7918aecdccfc51b8f93,2058
final_scene_registry,results/mid360_formal_batch1/final_dataset_v1/final_scene_registry.yaml,54e69717317632cd36422b7316d4288909ade9155386d783d36fcdc5ff2078fe,6573
final_station_registry,results/mid360_formal_batch1/final_dataset_v1/final_station_registry.yaml,4045a75443dbd03705290b26096a3fa947cc5b410da3b1c8c0d3218d5ba4f25f,30972
geometry_manifest,results/mid360_formal_batch1/final_dataset_v1/final_geometry_manifest.csv,c0a1c8ea9cbb1b28f8ffdc507d7becf8f591ed333d047161168a1a0962a10bd4,37260
invalid_attempt_archive_manifest,results/mid360_formal_batch1/final_dataset_v1/invalid_attempt_archive_manifest.json,ffba29d8565c4c34cd8ec4b433ac9fbbea750e8e24c0a636964a74d92828d5c1,5395
old_lock_file,results/mid360_formal_batch1/zero_perturbation_v1_1_lock/formal_batch1_zero_perturbation_lock_v1_1.json,a191894d76f5c3bd3be2aa53f4a2b8bb6b641b77d9603a6f300993b49bbf9c0c,17330
old_lock_fingerprint,results/mid360_formal_batch1/zero_perturbation_v1_1_lock/lock_fingerprint.json,6c025d1fe4effe116a79ff6c2a6f084fec5efcb2faecc0d1bcc2f4e1031f4d09,496
old_lock_supersession,results/mid360_formal_batch1/history/zero_perturbation_v1_1_exec_r1_lock.SUPERSEDED.json,931cef9b634cbb2d78f4c42334c75616bc1ee888fb50ffbb34034baf5a161743,949
original_capture_radius_analysis_protocol,experiments/mid360_formal_batch1/analysis_protocol.md,d453d12e713c546c5a054ceb1710b86eea12fa09e3f244705e46df9db255a879,3309
original_preregistration,experiments/mid360_formal_batch1/preregistration.yaml,76ae548874d8c1584fcc033685db4a1e7cf104fd881cbd1c334eba0bfe1a9beb,7541
original_zero_perturbation_proposal_json,experiments/mid360_formal_batch1/zero_perturbation_mainline_amendment_v1_1_PROPOSED.json,4837f6bd37e3a0f19c4b276964bbd066df09b86e58af288aa103aca704be936e,4042
original_zero_perturbation_proposal_md,experiments/mid360_formal_batch1/zero_perturbation_mainline_amendment_v1_1_PROPOSED.md,836822c553929a2e5b9e6cdf85b48d318fe71f91aa47447d908d030516e7f4ed,3636
pcl_executable,bin/pcl_point_to_plane_cli,d42ce655df74117f0e6965c9df1326526fabba9f4e65ed10a5644ed911fad7ff,7036160
prelock_no_icp_attestation,results/mid360_formal_batch1/final_dataset_v1/NO_ICP_ATTESTATION.json,c59bb05646abebc116239fb0fa42608fc9e8ddc2f9a38e60fe72ac93aae292b0,796
proposal_correction_record,results/mid360_formal_batch1/zero_perturbation_v1_1_lock/proposal_correction_record_v1_1_r1.json,872c9bb4e12176185bff2cf082dff40ed32a1e674ca7165a967e6c378edbd41a,3405
proposal_difference_report,results/mid360_formal_batch1/zero_perturbation_v1_1_lock/proposal_difference_report_v1_1_r1.json,b40b64cfe4375cd566672c37814c5437163162f663312c7e389c2ad11f93c419,4628
proposal_superseded_sidecar,experiments/mid360_formal_batch1/zero_perturbation_mainline_amendment_v1_1_PROPOSED.SUPERSEDED.json,e76af07f4dd2bc63944563fc8139b0ebc1b3489d7d83429f8d80d2936662d44c,1997
protocol_c1_missingness_independent_verification,results/mid360_formal_batch1/zero_perturbation_v1_1_lock/protocol_r1_c1_missingness_independent_verification.json,212e282da1b3983f18ac5fa92463e6732a11c2e64d8dbb581beeb37a5bfbd331,4466
protocol_transition_independent_verification,results/mid360_formal_batch1/zero_perturbation_v1_1_lock/protocol_r1_active_transition_independent_verification.json,acf24c710550632cdbbe815f3502b66d138927314e45620a0a34d675bcf49b71,2480
result_schema,experiments/mid360_formal_batch1/zero_perturbation_trial_result_schema_v1_1.json,cf226717911eef9107a45523cff39519b6c70c8d5e53f48b2e3accb18964fab2,18526
snapshot_manifest,results/mid360_formal_batch1/final_dataset_v1/final_snapshot_manifest.csv,8067b3bf31263f53b62a83f277b5fe095367a3d58be3d9749c47e3c195a15d02,93105
target_manifest,results/mid360_formal_batch1/final_dataset_v1/final_target_manifest.csv,3b64bb04e6bf6ef303c70debd6018cd2318bc21c733a8e9260116179020e6b15,7811
trial_plan_csv,experiments/mid360_formal_batch1/zero_perturbation_trial_plan_v1_1.csv,e988fde793c8a238ba7d10f053b6c3300ad502f15a8670ecc6880ccc5b9cfacd,414482
trial_plan_independent_verification,results/mid360_formal_batch1/zero_perturbation_v1_1_lock/trial_plan_independent_verification.json,82459b3d30266a4a97a700e5e70b7f5fd678518f07bb5439852a40016199c11c,1405
trial_plan_json,experiments/mid360_formal_batch1/zero_perturbation_trial_plan_v1_1.json,e96917f93ffbcccf0e2c1d75ee75ba86e342f08a9e4651732e2457b7ad867427,908454
w04_superseded_history,results/mid360_formal_batch1/history/final_dataset_w04_replacement_superseded_v1.SUPERSEDED.json,d849fb47074c64a19264d8d78b57a4c50928a8c74971b7b6e1bdbc4a41f9c046,638
